Year,Round,Pick,Player,College,Games,Minutes Played,PTS,TRB,AST,FG%,3P%,FT%,Minutes Played per game,PTS per game,TBR per game,AST per game,WS,Team
2015,2,41,Pat Connaughton,Notre Dame,554,10836,3363,1914,759,0.436,0.358,0.773,19.6,6.1,3.5,1.4,23.4,BRK
2013,1,22,Mason Plumlee,Duke,786,17497,6585,5312,1911,0.594,0.043,0.573,22.3,8.4,6.8,2.4,54.1,BRK
2011,1,27,JaJuan Johnson,Purdue,36,298,114,58,6,0.446,0.0,0.667,8.3,3.2,1.6,0.2,0.2,BRK
2011,2,36,Jordan Williams,Maryland,43,635,197,156,11,0.507,0.0,0.652,14.8,4.6,3.6,0.3,1.3,BRK
2010,1,3,Derrick Favors,Georgia Tech,790,19202,8354,5608,851,0.534,0.198,0.663,24.3,10.6,7.1,1.1,60.2,BRK
2010,1,27,Jordan Crawford,Xavier,281,6843,3432,703,883,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,BRK
2010,2,31,Tibor Pleiß,Out US,12,82,24,15,2,0.44,0.0,1.0,6.8,2.0,1.3,0.2,-0.1,BRK
2009,1,11,Terrence Williams,Louisville,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,BRK
2008,1,10,Brook Lopez,Stanford,1025,30976,16476,6336,1472,0.496,0.349,0.796,30.2,16.1,6.2,1.4,85.3,BRK
2008,1,21,Ryan Anderson,California,649,16769,8001,3413,586,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,BRK
2008,2,40,Chris Douglas-Roberts,Memphis,222,4381,1571,472,254,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,BRK
2007,1,17,Sean Williams,Boston College,137,1978,581,472,47,0.511,0.0,0.624,14.4,4.2,3.4,0.3,3.0,BRK
2006,1,22,Marcus Williams,UConn,203,3095,1128,361,574,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0.0,BRK
2006,1,23,Josh Boone,UConn,256,4482,1340,1258,125,0.544,0.0,0.445,17.5,5.2,4.9,0.5,9.1,BRK
2006,2,54,Hassan Adams,Arizona,73,547,185,84,14,0.534,0.0,0.643,7.5,2.5,1.2,0.2,0.8,BRK
2005,1,15,Antoine Wright,Texas A&M,297,5714,1614,681,295,0.412,0.304,0.674,19.2,5.4,2.3,1.0,3.1,BRK
2005,2,43,Mile Ilić,Out US,5,6,0,1,0,0.0,0.0,0.0,1.2,0.0,0.2,0.0,-0.2,BRK
2004,1,22,Viktor Khryapa,Out US,143,2351,643,492,142,0.443,0.292,0.658,16.4,4.5,3.4,1.0,2.0,BRK
2003,1,22,Zoran Planinić,Out US,148,1584,561,198,165,0.405,0.289,0.677,10.7,3.8,1.3,1.1,1.5,BRK
2003,2,51,Kyle Korver,Creighton,1232,31183,11953,3643,2114,0.442,0.429,0.877,25.3,9.7,3.0,1.7,73.4,BRK
2002,1,24,Nenad Krstić,Out US,419,10547,4210,2261,346,0.494,0.143,0.73,25.2,10.0,5.4,0.8,21.5,BRK
2002,2,54,Tamar Slay,Marshall,66,517,173,70,31,0.361,0.265,0.538,7.8,2.6,1.1,0.5,-0.3,BRK
2001,1,7,Eddie Griffin,Seton Hall,303,6729,2171,1744,236,0.377,0.315,0.671,22.2,7.2,5.8,0.8,10.9,BRK
2001,2,35,Brian Scalabrine,USC,520,6772,1594,1034,436,0.39,0.344,0.783,13.0,3.1,2.0,0.8,7.6,BRK
2000,1,1,Kenyon Martin,Cincinnati,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48.0,BRK
2000,2,36,Soumaila Samake,Out US,47,303,68,76,5,0.389,0.0,0.462,6.4,1.4,1.6,0.1,0.3,BRK
1999,2,34,Evan Eschmeyer,Northwestern,153,2138,421,601,76,0.463,0.0,0.621,14.0,2.8,3.9,0.5,4.0,BRK
1997,1,7,Tim Thomas,Villanova,824,21336,9454,3379,1272,0.437,0.369,0.758,25.9,11.5,4.1,1.5,35.2,BRK
1997,1,21,Anthony Parker,Bradley,494,13752,4478,1574,1129,0.444,0.404,0.794,27.8,9.1,3.2,2.3,24.5,BRK
1996,1,8,Kerry Kittles,Villanova,507,16929,7165,1983,1295,0.439,0.378,0.78,33.4,14.1,3.9,2.6,44.8,BRK
1995,1,9,Ed O'Bannon,UCLA,128,2062,634,316,102,0.367,0.222,0.755,16.1,5.0,2.5,0.8,1.1,BRK
1994,1,14,Yinka Dare,George Washington,110,1002,233,281,4,0.396,0.0,0.57,9.1,2.1,2.6,0.0,-0.7,BRK
1993,1,16,Rex Walters,Kansas,335,4602,1547,403,569,0.441,0.361,0.809,13.7,4.6,1.2,1.7,6.3,BRK
1992,2,29,P.J. Brown,Louisiana Tech,1089,33823,9870,8409,1661,0.46,0.136,0.794,31.1,9.1,7.7,1.5,89.8,BRK
