Year,Round,Pick,Player,College,Games,Minutes Played,PTS,TRB,AST,FG%,3P%,FT%,Minutes Played per game,PTS per game,TBR per game,AST per game,WS,Team
1993,1,13,Terry Dehere,Seton Hall,402,7305,3235,588,1034,0.411,0.378,0.779,18.2,8.0,1.5,2.6,7.3,LAC
1992,1,16,Randy Woods,La Salle,151,1093,356,93,257,0.34,0.305,0.683,7.2,2.4,0.6,1.7,0.6,LAC
1992,1,25,Elmore Spencer,UNLV,157,2641,923,555,109,0.516,0.0,0.58,16.8,5.9,3.5,0.7,0.0,LAC
1991,1,22,LeRon Ellis,Syracuse,91,857,277,220,29,0.433,0.0,0.613,9.4,3.0,2.4,0.3,1.2,LAC
1991,2,37,Elliot Perry,Memphis,549,9501,3449,742,1699,0.459,0.359,0.783,17.3,6.3,1.4,3.1,14.0,LAC
1990,1,8,Bo Kimble,Loyola Marymount,105,1336,574,162,98,0.386,0.291,0.728,12.7,5.5,1.5,0.9,0.1,LAC
1990,1,13,Loy Vaught,Michigan,689,16993,6984,4881,652,0.504,0.244,0.718,24.7,10.1,7.1,0.9,35.8,LAC
1989,1,2,Danny Ferry,Duke,917,18133,6439,2550,1185,0.446,0.393,0.84,19.8,7.0,2.8,1.3,34.8,LAC
1989,2,31,Jeff Martin,Murray State,143,2685,956,290,109,0.417,0.282,0.694,18.8,6.7,2.0,0.8,2.1,LAC
1989,2,33,Jay Edwards,Indiana,4,26,7,2,4,0.429,0.0,0.333,6.5,1.8,0.5,1.0,0.0,LAC
1988,1,1,Danny Manning,Kansas,883,24202,12367,4615,2063,0.511,0.206,0.729,27.4,14.0,5.2,2.3,55.1,LAC
1988,1,6,Hersey Hawkins,Bradley,983,32034,14470,3554,2860,0.461,0.394,0.87,32.6,14.7,3.6,2.9,90.6,LAC
1988,2,45,Tom Garrick,Rhode Island,251,4718,1359,501,853,0.469,0.083,0.775,18.8,5.4,2.0,3.4,5.9,LAC
1988,3,51,Rob Lock,Kentucky,20,110,30,32,4,0.281,0.0,0.8,5.5,1.5,1.6,0.2,-0.2,LAC
1987,1,4,Reggie Williams,Georgetown,599,16013,7508,2393,1492,0.437,0.298,0.784,26.7,12.5,4.0,2.5,26.0,LAC
1987,1,13,Joe Wolf,UNC,592,9636,2485,1933,596,0.423,0.164,0.77,16.3,4.2,3.3,1.0,3.5,LAC
1987,1,19,Ken Norman,Illinois,646,18992,8717,3949,1355,0.486,0.312,0.567,29.4,13.5,6.1,2.1,27.1,LAC
1987,2,38,Norris Coleman,Kansas State,29,431,153,81,13,0.346,0.5,0.556,14.9,5.3,2.8,0.4,-0.4,LAC
1987,6,116,Martin Nessley,Duke,44,336,48,82,16,0.385,0.0,0.444,7.6,1.1,1.9,0.4,-0.1,LAC
1986,3,54,Dwayne Polee,Pepperdine,1,6,2,0,0,0.25,0.0,0.0,6.0,2.0,0.0,0.0,0.0,LAC
1986,5,100,Steffond Johnson,San Diego State,29,234,74,43,5,0.422,0.0,0.526,8.1,2.6,1.5,0.2,-0.2,LAC
1986,6,124,Tim Kempton,Notre Dame,280,3758,1259,795,307,0.481,0.0,0.677,13.4,4.5,2.8,1.1,3.3,LAC
1985,1,3,Benoit Benjamin,Creighton,807,21911,9223,6063,1070,0.497,0.048,0.721,27.2,11.4,7.5,1.3,32.7,LAC
1984,1,8,Lancaster Gordon,Louisville,201,2581,1125,259,294,0.391,0.271,0.767,12.8,5.6,1.3,1.5,-2.7,LAC
1984,1,14,Michael Cage,San Diego State,1140,29716,8278,8646,1057,0.515,0.0,0.664,26.1,7.3,7.6,0.9,74.4,LAC
1983,1,4,Byron Scott,Arizona State,1073,30152,15097,2987,2729,0.482,0.37,0.833,28.1,14.1,2.8,2.5,75.2,LAC
1983,5,97,Manute Bol,Out US,624,11698,1599,2647,171,0.407,0.21,0.561,18.7,2.6,4.2,0.3,12.3,LAC
1982,1,2,Terry Cummings,DePaul,1183,33898,19460,8630,2190,0.484,0.295,0.706,28.7,16.4,7.3,1.9,91.1,LAC
1982,2,32,Richard Anderson,UC Santa Barbara,407,6002,2260,1418,611,0.412,0.333,0.762,14.7,5.6,3.5,1.5,7.6,LAC
1982,3,48,Craig Hodges,Cal State Long Beach,695,15077,5940,937,1769,0.461,0.4,0.828,21.7,8.5,1.3,2.5,27.2,LAC
1982,7,140,Eddie Hughes,Colorado State,97,1158,296,93,159,0.416,0.364,0.692,11.9,3.1,1.0,1.6,1.5,LAC
1981,1,8,Tom Chambers,Utah,1107,33922,20049,6703,2283,0.468,0.307,0.807,30.6,18.1,6.1,2.1,79.0,LAC
1981,3,54,Jim Smith,Ohio State,76,876,219,187,46,0.514,0.0,0.461,11.5,2.9,2.5,0.6,0.7,LAC
1980,1,9,Michael Brooks,La Salle,319,9372,4086,2001,818,0.486,0.152,0.714,29.4,12.8,6.3,2.6,16.5,LAC
1980,5,99,Wally Rank,San Jose State,25,153,55,30,17,0.368,0.0,0.464,6.1,2.2,1.2,0.7,-0.4,LAC
1978,2,41,Jerome Whitehead,Marquette,679,11828,4423,3268,374,0.497,0.0,0.718,17.4,6.5,4.8,0.6,16.4,LAC
1978,7,133,Stan Pietkiewicz,Auburn,96,1070,376,93,174,0.458,0.0,0.806,11.1,3.9,1.0,1.8,1.5,LAC
1977,2,24,Larry Johnson,Kentucky,4,38,6,5,7,0.231,0.0,0.0,9.5,1.5,1.3,1.8,-0.1,LAC
1976,1,6,Adrian Dantley,Notre Dame,955,34151,23177,5455,2830,0.54,0.0,0.818,35.8,24.3,5.7,3.0,134.2,LAC
1974,1,9,Tom McMillen,Maryland,729,14770,5914,2913,788,0.483,0.0,0.806,20.3,8.1,4.0,1.1,27.2,LAC
1974,3,45,Kim Hughes,Wisconsin,341,5719,932,1592,319,0.449,0.0,0.333,16.8,2.7,4.7,0.9,7.1,LAC
1974,4,63,Bernie Harris,VCU,11,25,5,8,1,0.182,0.0,0.5,2.3,0.5,0.7,0.1,-0.1,LAC
1973,1,3,Ernie DiGregorio,Providence,312,7859,2997,610,1594,0.415,0.0,0.902,25.2,9.6,2.0,5.1,2.5,LAC
1973,3,38,Ken Charles,Fordham,322,7637,2747,640,806,0.441,0.0,0.789,23.7,8.5,2.0,2.5,9.8,LAC
1973,6,88,Mike Macaluso,Canisius,30,112,48,25,3,0.432,0.0,0.588,3.7,1.6,0.8,0.1,0.0,LAC
1973,7,106,Tim Bassett,Georgia,235,5588,1390,1496,285,0.388,0.0,0.595,23.8,5.9,6.4,1.2,4.1,LAC
1973,17,204,Jim Garvin,Boston University,6,11,2,5,0,0.25,0.0,0.0,1.8,0.3,0.8,0.0,0.0,LAC
1972,1,2,Bob McAdoo,UNC,852,28327,18787,8048,1951,0.503,0.0,0.754,33.2,22.1,9.4,2.3,89.1,LAC
1972,2,15,Harold Fox,Jacksonville University,10,84,31,8,10,0.375,0.0,0.875,8.4,3.1,0.8,1.0,0.0,LAC
1971,1,3,Elmore Smith,Kentucky State University,562,17879,7541,5962,808,0.482,0.0,0.579,31.8,13.4,10.6,1.4,34.7,LAC
1971,2,19,Fred Hilton,Grambling State University,120,2080,1131,254,190,0.388,0.0,0.749,17.3,9.4,2.1,1.6,-3.5,LAC
1971,2,30,Spencer Haywood,Detroit Mercy,760,25600,14592,7038,1351,0.465,0.0,0.8,33.7,19.2,9.3,1.8,61.4,LAC
1971,7,104,Randy Smith,Buffalo State,976,31444,16262,3597,4487,0.47,0.0,0.781,32.2,16.7,3.7,4.6,60.1,LAC
1970,1,15,John Hummer,Princeton,327,7420,2248,1733,543,0.438,0.0,0.524,22.7,6.9,5.3,1.7,4.8,LAC
1970,2,24,Cornell Warner,Jackson State University,445,10508,2860,3353,494,0.452,0.0,0.672,23.6,6.4,7.5,1.1,15.8,LAC
2023,1,17,Jalen Hood-Schifino,Indiana,21,109,34,13,8,0.222,0.133,0.6,5.2,1.6,0.6,0.4,-0.5,LAL
2022,2,35,Max Christie,Michigan State,108,1456,412,217,81,0.424,0.378,0.806,13.5,3.8,2.0,0.8,1.3,LAL
2021,1,22,Isaiah Jackson,Kentucky,158,2354,1135,669,111,0.594,0.206,0.679,14.9,7.2,4.2,0.7,7.4,LAL
2020,1,28,Jaden McDaniels,Washington,284,7835,2784,1056,399,0.484,0.354,0.729,27.6,9.8,3.7,1.4,11.6,LAL
2019,1,4,De'Andre Hunter,Virginia,263,8080,3751,1078,405,0.447,0.363,0.811,30.7,14.3,4.1,1.5,7.6,LAL
2018,1,25,Moritz Wagner,Michigan,333,5487,2942,1288,397,0.521,0.32,0.82,16.5,8.8,3.9,1.2,14.9,LAL
2018,2,47,Sviatoslav Mykhailiuk,Kansas,293,4626,1835,499,386,0.404,0.363,0.76,15.8,6.3,1.7,1.3,4.2,LAL
2017,1,2,Lonzo Ball,UCLA,252,8187,2995,1447,1563,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.4,LAL
2017,1,28,Tony Bradley,UNC,179,1994,792,729,90,0.631,0.5,0.681,11.1,4.4,4.1,0.5,7.5,LAL
2016,1,2,Brandon Ingram,Duke,477,15721,9256,2466,2037,0.468,0.362,0.786,33.0,19.4,5.2,4.3,27.2,LAL
2016,2,32,Ivica Zubac,Out US,504,10810,4613,3732,580,0.612,0.083,0.739,21.4,9.2,7.4,1.2,39.6,LAL
2015,1,2,D'Angelo Russell,Ohio State,571,17265,10136,1954,3289,0.43,0.369,0.792,30.2,17.8,3.4,5.8,24.6,LAL
2015,1,27,Larry Nance,Wyoming,522,12124,4001,3238,979,0.54,0.342,0.696,23.2,7.7,6.2,1.9,33.4,LAL
2015,2,34,Anthony Brown,Stanford,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,LAL
2014,1,7,Julius Randle,Kentucky,641,20512,12229,6004,2387,0.47,0.333,0.748,32.0,19.1,9.4,3.7,43.3,LAL
2013,2,48,Ryan Kelly,Duke,163,3125,981,504,215,0.378,0.316,0.797,19.2,6.0,3.1,1.3,3.0,LAL
2012,2,60,Robert Sacre,Gonzaga,189,2745,787,593,126,0.436,0.0,0.671,14.5,4.2,3.1,0.7,2.4,LAL
2011,2,41,Darius Morris,Michigan,132,1464,430,126,189,0.384,0.322,0.63,11.1,3.3,1.0,1.4,-0.3,LAL
2011,2,46,Andrew Goudelock,College of Charleston,49,475,197,34,24,0.393,0.345,0.875,9.7,4.0,0.7,0.5,0.0,LAL
2010,2,43,Devin Ebanks,West Virginia,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,LAL
2010,2,58,Derrick Caracter,Texas-El Paso,41,215,81,43,7,0.485,0.0,0.739,5.2,2.0,1.0,0.2,0.3,LAL
2009,1,29,Toney Douglas,Florida State,394,7511,3009,875,889,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,LAL
2009,2,42,Patrick Beverley,Arkansas,666,17689,5520,2729,2245,0.413,0.371,0.76,26.6,8.3,4.1,3.4,40.2,LAL
2008,2,58,Joe Crawford,Kentucky,2,23,9,4,1,0.3,0.25,1.0,11.5,4.5,2.0,0.5,0.0,LAL
2007,1,19,Javaris Crittenton,Georgia Tech,113,1853,595,276,201,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,LAL
2007,2,40,Sun Yue,Out US,10,28,6,0,2,0.273,0.0,0.0,2.8,0.6,0.0,0.2,-0.1,LAL
2007,2,48,Marc Gasol,Out US,891,28719,12514,6604,2996,0.481,0.36,0.776,32.2,14.0,7.4,3.4,85.3,LAL
2006,1,26,Jordan Farmar,UCLA,504,9840,3888,958,1453,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,LAL
2006,2,51,Cheikh Samb,Out US,22,114,22,31,1,0.25,0.0,0.444,5.2,1.0,1.4,0.0,-0.1,LAL
2005,1,10,Andrew Bynum,Out US,418,10690,4822,3221,490,0.556,0.111,0.69,25.6,11.5,7.7,1.2,37.4,LAL
2005,2,37,Ronny Turiaf,Gonzaga,473,8020,2209,1757,618,0.533,0.0,0.636,17.0,4.7,3.7,1.3,19.2,LAL
2005,2,39,Von Wafer,Florida State,200,2475,1054,234,146,0.42,0.325,0.751,12.4,5.3,1.2,0.7,3.3,LAL
2004,1,27,Sasha Vujačić,Out US,581,8908,3094,1093,748,0.39,0.367,0.858,15.3,5.3,1.9,1.3,16.0,LAL
2003,1,24,Brian Cook,Illinois,421,5649,2312,1115,252,0.439,0.382,0.783,13.4,5.5,2.6,0.6,10.2,LAL
2003,2,32,Luke Walton,Arizona,564,9685,2649,1588,1317,0.429,0.326,0.715,17.2,4.7,2.8,2.3,13.5,LAL
2002,1,27,Chris Jefferies,Fresno State,72,861,281,88,29,0.383,0.365,0.667,12.0,3.9,1.2,0.4,-0.5,LAL
2000,1,29,Mark Madsen,Stanford,453,5335,975,1157,181,0.457,0.063,0.527,11.8,2.2,2.6,0.4,8.2,LAL
1999,1,23,Devean George,Augsburg College,630,11682,3536,1975,543,0.392,0.343,0.721,18.5,5.6,3.1,0.9,18.2,LAL
1999,2,30,John Celestand,Villanova,16,185,37,11,20,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,LAL
1998,1,26,Sam Jacobson,Minnesota,68,752,283,80,36,0.511,0.36,0.739,11.1,4.2,1.2,0.5,1.1,LAL
1998,2,31,Ruben Patterson,Cincinnati,649,15955,6953,2697,1150,0.517,0.179,0.641,24.6,10.7,4.2,1.8,35.1,LAL
1998,2,45,Toby Bailey,UCLA,73,698,241,126,43,0.407,0.2,0.692,9.6,3.3,1.7,0.6,1.0,LAL
1997,2,52,DeJuan Wheat,Louisville,80,740,265,56,127,0.383,0.39,0.7,9.3,3.3,0.7,1.6,0.5,LAL
1996,1,24,Derek Fisher,Little Rock,1287,32719,10713,2658,3804,0.399,0.374,0.817,25.4,8.3,2.1,3.0,62.3,LAL
1995,2,37,Frankie King,Western Carolina University,13,79,27,16,7,0.357,0.333,0.75,6.1,2.1,1.2,0.5,0.0,LAL
1994,1,10,Eddie Jones,Temple,954,32778,14155,3857,2812,0.437,0.373,0.809,34.4,14.8,4.0,2.9,100.6,LAL
1993,1,12,George Lynch,UNC,774,17683,5109,3902,1121,0.446,0.306,0.652,22.8,6.6,5.0,1.4,32.3,LAL
1993,2,37,Nick Van Exel,Cincinnati,880,28969,12658,2545,5777,0.405,0.357,0.794,32.9,14.4,2.9,6.6,55.9,LAL
1992,1,15,Anthony Peeler,Missouri,827,20464,8017,2136,1956,0.427,0.384,0.799,24.7,9.7,2.6,2.4,30.7,LAL
1992,2,36,Duane Cooper,USC,88,781,204,59,178,0.402,0.216,0.72,8.9,2.3,0.7,2.0,-0.5,LAL
1990,1,27,Elden Campbell,Clemson,1044,25776,10805,6116,1199,0.46,0.054,0.699,24.7,10.3,5.9,1.1,62.8,LAL
1990,2,51,Tony Smith,Marquette,457,7295,2504,735,881,0.431,0.307,0.69,16.0,5.5,1.6,1.9,6.7,LAL
1989,1,26,Vlade Divac,Out US,1134,33838,13398,9326,3541,0.495,0.235,0.692,29.8,11.8,8.2,3.1,96.4,LAL
1988,1,25,David Rivers,Notre Dame,114,1286,383,147,282,0.398,0.083,0.794,11.3,3.4,1.3,2.5,-0.3,LAL
1986,3,69,Andre Turner,Memphis,170,2523,767,263,535,0.422,0.237,0.764,14.8,4.5,1.5,3.1,1.8,LAL
1985,1,23,A.C. Green,Oregon State,1278,36552,12331,9473,1400,0.494,0.254,0.734,28.6,9.6,7.4,1.1,99.5,LAL
1985,4,92,Dexter Shouse,University of South Alabama,3,18,0,0,2,0.0,0.0,0.0,6.0,0.0,0.0,0.7,-0.1,LAL
1984,1,23,Earl Jones,University of the District of Columbia,14,50,13,10,4,0.385,0.0,0.75,3.6,0.9,0.7,0.3,-0.1,LAL
1982,1,1,James Worthy,UNC,926,30001,16320,4708,2791,0.521,0.241,0.769,32.4,17.6,5.1,3.0,81.2,LAL
1982,3,54,Willie Jones,Vanderbilt,13,103,41,17,4,0.425,0.0,0.7,7.9,3.2,1.3,0.3,0.0,LAL
1981,1,19,Mike McGee,Michigan,520,9271,4968,1112,629,0.487,0.354,0.597,17.8,9.6,2.1,1.2,15.1,LAL
1981,4,88,Kevin McKenna,Creighton,243,3460,1320,317,342,0.414,0.367,0.819,14.2,5.4,1.3,1.4,4.0,LAL
1980,2,31,Wayne Robinson,Virginia Tech,81,1592,643,294,112,0.46,0.0,0.729,19.7,7.9,3.6,1.4,1.7,LAL
1980,2,37,Butch Carter,Indiana,361,6814,3137,546,683,0.475,0.307,0.788,18.9,8.7,1.5,1.9,8.5,LAL
1980,4,87,Tony Jackson,Florida State,2,14,2,2,2,0.333,0.0,0.0,7.0,1.0,1.0,1.0,0.0,LAL
1979,1,1,Magic Johnson,Michigan State,906,33245,17707,6559,10141,0.52,0.303,0.848,36.7,19.5,7.2,11.2,155.8,LAL
1979,1,14,Brad Holland,UCLA,93,686,293,59,63,0.403,0.19,0.746,7.4,3.2,0.6,0.7,0.4,LAL
1979,2,25,Ollie Mack,East Carolina University,128,2513,916,319,230,0.458,0.0,0.674,19.6,7.2,2.5,1.8,2.5,LAL
1978,2,26,Ron Carter,Virginia Military Institute,59,449,176,64,34,0.429,0.0,0.623,7.6,3.0,1.1,0.6,-0.2,LAL
1978,3,60,Michael Cooper,New Mexico,873,23635,7729,2769,3666,0.469,0.0,0.833,27.1,8.9,3.2,4.2,52.5,LAL
1978,5,104,Carlos Terry,Winston-Salem State,94,1078,285,227,124,0.434,0.0,0.672,11.5,3.0,2.4,1.3,1.5,LAL
1977,1,6,Kenny Carr,NC State,674,17167,7813,4999,923,0.51,0.0,0.684,25.5,11.6,7.4,1.4,33.6,LAL
1977,1,15,Brad Davis,Maryland,961,22302,7866,1738,4709,0.51,0.0,0.828,23.2,8.2,1.8,4.9,53.6,LAL
1977,1,22,Norm Nixon,Duquesne,768,27250,12065,1991,6386,0.483,0.0,0.772,35.5,15.7,2.6,8.3,47.6,LAL
1977,3,46,James Edwards,Washington,1168,28356,14862,6004,1499,0.495,0.0,0.698,24.3,12.7,5.1,1.3,59.7,LAL
1977,4,88,Tony Robertson,West Virginia,75,1003,409,80,107,0.435,0.0,0.694,13.4,5.5,1.1,1.4,0.4,LAL
1977,7,151,Lars Hansen,Washington,15,205,76,59,14,0.509,0.0,0.581,13.7,5.1,3.9,0.9,0.6,LAL
1976,2,21,Earl Tatum,Marquette,262,5229,2508,682,507,0.459,0.0,0.746,20.0,9.6,2.6,1.9,7.8,LAL
1976,3,43,Tom Abernethy,Indiana,319,5434,1779,1011,384,0.492,0.0,0.747,17.0,5.6,3.2,1.2,13.4,LAL
1976,4,60,Wayman Britt,Michigan,7,16,9,4,2,0.3,0.0,0.75,2.3,1.3,0.6,0.3,0.0,LAL
1975,1,2,Dave Meyers,UCLA,281,7471,3149,1771,652,0.461,0.0,0.676,26.6,11.2,6.3,2.3,13.4,LAL
1975,1,8,Junior Bridgeman,Louisville,849,21257,11517,2995,2066,0.475,0.0,0.846,25.0,13.6,3.5,2.4,45.0,LAL
1975,4,56,C.J. Kupec,Michigan,147,1589,606,313,108,0.427,0.0,0.772,10.8,4.1,2.1,0.7,1.8,LAL
1975,6,92,Don Ford,UC Santa Barbara,474,9301,3016,1691,647,0.464,0.0,0.773,19.6,6.4,3.6,1.4,12.7,LAL
1974,1,12,Brian Winters,South Carolina,650,19938,10537,1688,2674,0.475,0.0,0.842,30.7,16.2,2.6,4.1,38.6,LAL
1974,2,21,Billy Knight,Pitt,671,18412,10561,3037,1435,0.506,0.0,0.83,27.4,15.7,4.5,2.1,48.5,LAL
1973,1,5,Kermit Washington,American University,507,12815,4666,4232,695,0.526,0.0,0.656,25.3,9.2,8.3,1.4,36.0,LAL
1973,2,31,Jim Chones,Marquette,623,19125,7664,5196,1079,0.468,0.0,0.704,30.7,12.3,8.3,1.7,37.4,LAL
1973,7,118,Nate Hawthorne,Southern Illinois,162,1991,882,333,108,0.421,0.0,0.66,12.3,5.4,2.1,0.7,1.7,LAL
1972,1,13,Travis Grant,Kentucky State University,36,159,128,53,7,0.433,0.0,0.828,4.4,3.6,1.5,0.2,0.4,LAL
1972,2,16,Jim Price,Louisville,510,12815,5088,1566,1886,0.444,0.0,0.815,25.1,10.0,3.1,3.7,19.7,LAL
1972,2,22,Paul Stovall,Arizona State,25,211,76,61,13,0.342,0.0,0.632,8.4,3.0,2.4,0.5,-0.1,LAL
1971,1,13,Jim Cleamons,Ohio State,652,16994,5412,1981,2531,0.46,0.0,0.765,26.1,8.3,3.0,3.9,29.1,LAL
1971,4,64,Roger Brown,Kansas,77,818,135,230,25,0.389,0.0,0.702,10.6,1.8,3.0,0.3,0.6,LAL
1970,1,13,Jim McMillian,Columbia University,631,20227,8736,3319,1557,0.482,0.0,0.832,32.1,13.8,5.3,2.5,46.0,LAL
1970,2,30,Earnie Killum,Stetson University,4,12,1,2,0,0.0,0.0,1.0,3.0,0.3,0.5,0.0,-0.1,LAL
1970,4,64,Larry Mikan,Minnesota,53,536,158,139,41,0.333,0.0,0.618,10.1,3.0,2.6,0.8,-0.8,LAL
1969,1,12,Willie McCarter,Drake University,155,2842,1090,248,304,0.402,0.0,0.656,18.3,7.0,1.6,2.0,-1.0,LAL
1969,1,15,Rick Roberson,Cincinnati,423,10356,3826,3522,591,0.44,0.0,0.585,24.5,9.0,8.3,1.4,14.6,LAL
1969,2,27,Dick Garrett,Southern Illinois,339,8729,3475,1004,849,0.423,0.0,0.863,25.7,10.3,3.0,2.5,6.0,LAL
1969,5,69,Wil Jones,Albany State University,159,4420,1578,938,305,0.433,0.0,0.731,27.8,9.9,5.9,1.9,4.6,LAL
1969,14,187,Mack Calvin,USC,222,3326,1552,276,550,0.42,0.0,0.848,15.0,7.0,1.2,2.5,5.9,LAL
1968,1,11,Bill Hewitt,USC,361,7461,2062,1994,469,0.439,0.0,0.561,20.7,5.7,5.5,1.3,5.2,LAL
1968,4,45,Ed Biedenbach,NC State,7,18,4,2,3,0.0,0.0,0.667,2.6,0.6,0.3,0.4,-0.1,LAL
1968,15,187,Johnny Baum,Temple,65,556,292,129,31,0.414,0.0,0.69,8.6,4.5,2.0,0.5,0.3,LAL
1967,4,35,Cliff Anderson,Saint Joseph's,81,581,247,103,68,0.351,0.0,0.593,7.2,3.0,1.3,0.8,0.3,LAL
1966,1,7,Jerry Chambers,Utah,239,3691,1931,739,182,0.442,0.0,0.747,15.4,8.1,3.1,0.8,2.8,LAL
1966,2,17,Hank Finkel,Dayton,551,6866,2790,2151,426,0.449,0.0,0.662,12.5,5.1,3.9,0.8,13.5,LAL
1966,3,27,John Block,USC,597,14316,7106,3965,805,0.433,0.0,0.778,24.0,11.9,6.6,1.3,32.7,LAL
1966,4,37,Archie Clark,Minnesota,725,23581,11819,2427,3498,0.48,0.0,0.769,32.5,16.3,3.3,4.8,64.7,LAL
1966,8,75,John Wetzel,Virginia Tech,357,4714,1215,682,494,0.429,0.0,0.81,13.2,3.4,1.9,1.4,6.6,LAL
1965,1,10,Gail Goodrich,UCLA,1031,33527,19181,3279,4805,0.456,0.0,0.807,32.5,18.6,3.2,4.7,76.3,LAL
1965,2,19,John Fairchild,BYU,30,171,60,45,11,0.258,0.0,0.7,5.7,2.0,1.5,0.4,-0.6,LAL
1965,3,28,Jim Caldwell,Georgia Tech,2,7,0,1,1,0.0,0.0,0.0,3.5,0.0,0.5,0.5,0.0,LAL
1964,1,5,Walt Hazzard,UCLA,724,19202,9087,2146,3555,0.441,0.0,0.757,26.5,12.6,3.0,4.9,30.3,LAL
1964,2,14,Cotton Nash,Kentucky,45,357,137,83,19,0.324,0.0,0.827,7.9,3.0,1.8,0.4,0.0,LAL
1964,4,32,Hank Finkel,Dayton,551,6866,2790,2151,426,0.449,0.0,0.662,12.5,5.1,3.9,0.8,13.5,LAL
1963,1,8,Roger Strickland,Jacksonville University,1,4,2,0,0,0.333,0.0,0.0,4.0,2.0,0.0,0.0,0.0,LAL
1963,2,14,Jim King,Tulsa,607,11187,4377,1500,1412,0.418,0.0,0.782,18.4,7.2,2.5,2.3,17.7,LAL
1963,2,17,Mel Gibson,Western Carolina University,9,53,13,4,6,0.3,0.0,0.5,5.9,1.4,0.4,0.7,-0.1,LAL
1963,5,44,Larry Jones,Toledo,95,2235,854,241,270,0.4,0.0,0.815,23.5,9.0,2.5,2.8,2.5,LAL
1962,1,8,Leroy Ellis,St. John's,1048,27520,10176,8709,1405,0.442,0.0,0.728,26.3,9.7,8.3,1.3,46.3,LAL
1962,2,17,Gene Wiley,Wichita State,300,6386,1273,2194,252,0.471,0.0,0.506,21.3,4.2,7.3,0.8,8.4,LAL
1961,1,5,Wayne Yates,Memphis,37,263,72,94,16,0.295,0.0,0.455,7.1,1.9,2.5,0.4,-0.5,LAL
1960,1,2,Jerry West,West Virginia,932,36571,25192,5366,6238,0.474,0.0,0.814,39.2,27.0,5.8,6.7,162.6,LAL
1960,4,27,Ben Warley,Tennessee State,288,4656,1767,1524,204,0.413,0.0,0.724,16.2,6.1,5.3,0.7,8.0,LAL
1960,7,50,Howard Jolliff,Ohio University,138,1739,388,586,112,0.367,0.0,0.527,12.6,2.8,4.2,0.8,0.8,LAL
1959,1,4,Tom Hawkins,Notre Dame,764,18465,6672,4607,871,0.447,0.0,0.57,24.2,8.7,6.0,1.1,24.1,LAL
1959,2,12,Rudy LaRusso,Dartmouth College,736,24487,11507,6936,1556,0.431,0.0,0.767,33.3,15.6,9.4,2.1,61.4,LAL
1959,3,20,Bobby Smith,West Virginia,13,137,37,33,14,0.236,0.0,0.688,10.5,2.8,2.5,1.1,-0.3,LAL
1958,1,1,Elgin Baylor,Seattle University,846,33863,23149,11463,3650,0.431,0.0,0.78,40.0,27.4,13.5,4.3,104.2,LAL
1958,2,9,Steve Hamilton,Morehead State University,82,1094,368,278,43,0.372,0.0,0.697,13.3,4.5,3.4,0.5,0.9,LAL
1958,3,17,Boo Ellis,Niagara University,118,1873,607,616,86,0.402,0.0,0.695,15.9,5.1,5.2,0.7,3.1,LAL
1958,13,83,Gary Alcorn,Fresno State,78,844,261,329,24,0.293,0.0,0.598,10.8,3.3,4.2,0.3,-1.3,LAL
1957,1,3,Jim Krebs,SMU,515,10661,4128,3177,429,0.405,0.0,0.755,20.7,8.0,6.2,0.8,12.4,LAL
1957,4,27,George Brown,Wayne State University,1,6,1,1,0,0.0,0.0,0.5,6.0,1.0,1.0,0.0,0.0,LAL
1956,1,3,Jim Paxson,Dayton,138,3069,1105,616,225,0.323,0.0,0.727,22.2,8.0,4.5,1.6,2.8,LAL
1956,3,19,Jerry Bird,Kentucky,11,45,25,12,4,0.375,0.0,1.0,4.1,2.3,1.1,0.4,0.0,LAL
1956,6,43,Phil Jordon,Whitworth,442,10792,4833,3028,769,0.398,0.0,0.694,24.4,10.9,6.9,1.7,9.9,LAL
1956,7,51,John Barber,California State University Los Angeles,5,19,7,6,0,0.25,0.0,0.5,3.8,1.4,1.2,0.0,0.0,LAL
1956,8,59,Sam Jones,NC Central,871,24285,15411,4305,2209,0.456,0.0,0.803,27.9,17.7,4.9,2.5,92.3,LAL
1956,14,91,Elgin Baylor,Seattle University,846,33863,23149,11463,3650,0.431,0.0,0.78,40.0,27.4,13.5,4.3,104.2,LAL
1955,1,6,Dick Garmaker,Minnesota,421,12155,5597,1748,1114,0.403,0.0,0.787,28.9,13.3,4.2,2.6,25.6,LAL
1955,2,14,Chuck Mencel,Minnesota,141,2821,983,347,333,0.341,0.0,0.765,20.0,7.0,2.5,2.4,1.9,LAL
1955,11,85,K.C. Jones,San Francisco,676,17501,5011,2399,2908,0.387,0.0,0.647,25.9,7.4,3.5,4.3,38.6,LAL
1954,1,9,Ed Kalafat,Minnesota,209,4358,1474,1182,310,0.345,0.0,0.688,20.9,7.1,5.7,1.5,5.3,LAL
