PTS per game,TBR per game,AST per game,WS,Pick,College
8.5,5.0,1.0,22.5,5,US
14.6,2.5,2.7,24.7,8,US
2.7,1.5,1.1,1.3,18,US
9.7,4.2,1.3,8.0,4,US
14.1,3.6,3.7,13.5,7,US
12.5,8.5,2.0,22.5,7,US
3.9,2.7,0.9,0.4,16,US
7.0,3.3,1.8,4.5,14,US
12.1,8.9,2.5,31.8,16,Out US
11.0,2.4,1.9,25.8,19,US
6.1,2.3,1.1,18.5,20,US
5.9,3.5,0.6,5.9,17,Out US
7.5,3.5,2.1,27.5,16,US
17.4,3.2,5.2,44.6,1,US
8.8,9.0,2.8,61.9,9,US
19.1,8.1,1.9,115.7,2,US
5.9,2.0,0.4,6.2,16,US
14.9,2.5,2.5,33.3,3,US
10.9,2.9,4.8,52.5,7,US
9.5,2.6,4.7,0.8,2,US
12.9,5.2,0.5,21.7,4,Out US
9.6,4.6,1.2,2.7,4,US
7.5,5.3,0.5,13.3,7,US
15.9,8.5,2.1,109.6,1,US
13.2,4.5,2.7,61.1,16,US
7.3,4.4,0.9,13.5,20,US
6.4,3.3,0.9,10.9,6,US
9.8,1.8,3.3,45.0,18,US
2.0,1.9,0.5,-0.1,20,US
4.7,4.9,0.8,26.6,11,US
7.8,6.7,0.7,46.8,8,US
11.2,8.1,2.2,118.2,10,US
6.3,2.7,1.1,9.8,9,US
6.1,4.7,1.0,3.7,11,US
30.1,6.2,5.3,214.0,3,US
7.5,6.1,0.9,17.4,5,US
14.1,2.5,2.3,12.7,7,US
16.0,4.3,1.9,53.0,6,US
11.4,1.9,5.2,17.9,4,US
10.2,7.9,2.0,46.4,2,US
18.5,3.3,6.3,66.9,9,US
3.8,1.0,1.1,0.3,13,US
10.4,4.1,1.7,17.4,2,US
4.6,1.7,3.6,1.3,18,US
14.4,8.8,2.3,58.7,14,US
3.9,3.8,1.1,4.7,16,US
8.3,7.3,1.4,22.0,12,US
8.4,2.0,2.2,0.7,11,US
5.3,3.9,1.0,-1.5,15,US
3.8,0.9,0.9,0.6,11,US
6.2,1.9,2.7,-0.2,5,US
7.2,9.0,3.2,38.0,4,US
2.9,1.0,0.7,0.2,17,US
12.8,3.1,3.5,35.8,3,US
4.7,1.8,0.6,0.8,15,US
2.8,1.0,0.8,-0.6,10,US
7.6,4.8,2.0,9.6,20,US
6.7,2.5,1.1,1.4,14,US
15.6,8.8,2.8,19.3,3,US
8.5,2.9,1.7,13.5,5,US
18.4,2.6,6.7,16.5,5,US
18.9,2.8,3.6,13.4,8,US
18.5,4.5,2.3,29.1,1,US
4.4,3.1,0.5,0.5,1,US
3.0,1.5,0.9,0.8,19,Out US
13.1,2.6,2.8,8.8,4,US
23.6,4.0,5.7,86.2,1,US
8.7,8.1,1.0,48.9,4,US
9.5,6.8,0.8,21.9,19,US
3.5,1.2,0.8,0.2,10,US
27.1,7.5,7.4,263.7,1,Out US
9.4,1.4,1.9,0.0,6,US
2.0,3.7,0.4,12.8,8,Out US
6.8,6.0,0.5,43.8,20,US
14.6,2.2,3.4,60.7,8,US
12.5,3.7,6.5,100.8,8,US
5.4,1.3,1.3,2.9,11,US
12.0,3.2,3.4,43.9,13,US
7.3,2.4,6.1,32.6,16,US
6.5,4.5,0.7,15.5,12,US
13.0,7.3,1.1,66.3,20,Out US
8.6,3.4,3.8,28.3,17,US
13.8,3.0,6.1,65.9,11,US
17.9,3.3,9.1,92.8,7,US
19.0,9.5,3.7,65.2,1,US
13.8,4.3,3.9,65.8,8,US
9.7,9.5,2.5,89.7,9,US
8.3,4.9,1.0,21.5,12,US
14.2,6.8,1.0,30.2,20,US
8.7,2.6,6.0,16.6,12,US
19.8,5.6,1.3,50.2,15,US
1.7,0.2,0.3,-0.2,15,US
3.8,3.3,0.6,6.9,15,US
15.8,4.8,3.0,35.8,8,US
5.8,6.3,1.5,29.3,2,US
8.6,5.9,1.6,11.4,3,US
15.4,2.9,2.8,32.9,1,US
4.4,4.7,1.3,4.8,18,US
12.9,5.5,3.8,37.1,7,US
6.8,2.3,1.5,4.0,10,US
6.4,2.7,1.5,7.7,18,US
25.5,3.6,9.5,37.6,5,US
9.7,3.0,4.2,2.3,9,US
10.3,5.2,2.4,44.4,13,US
6.9,4.4,0.9,17.1,17,US
5.7,4.7,0.4,14.9,12,US
4.8,3.7,0.7,13.3,6,US
5.5,5.3,0.5,28.6,15,US
5.3,4.7,0.6,14.2,9,US
4.4,3.6,0.6,11.8,12,US
12.6,6.3,8.7,138.6,2,US
7.3,1.3,1.2,1.3,19,US
19.1,5.4,4.0,43.7,4,US
14.3,4.7,3.2,35.8,4,US
8.0,4.2,1.4,3.0,6,US
7.4,4.9,0.6,1.9,8,US
5.3,1.4,0.8,0.7,20,US
12.6,10.0,1.0,19.8,7,US
13.9,6.2,3.4,109.5,8,US
4.6,3.0,0.6,17.7,16,US
2.1,1.8,0.4,0.4,17,US
11.9,6.0,1.5,105.4,4,US
6.3,1.4,2.0,2.4,15,US
15.7,3.5,1.4,84.7,9,US
13.3,2.4,5.5,86.8,11,US
