Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,Season,Salary,Team
Anthony Black,PG,20.0,69.0,1164.0,115.0,247.0,0.466,37.0,94.0,0.394,78.0,153.0,0.51,49.0,80.0,0.613,33.0,106.0,139.0,91.0,35.0,21.0,56.0,110.0,316.0,0.1,1.5,1.6,2023-24,7245480.0,ORL
Bogdan Bogdanović,SG,31.0,79.0,2401.0,471.0,1100.0,0.428,240.0,641.0,0.374,231.0,459.0,0.503,151.0,164.0,0.921,53.0,219.0,272.0,247.0,96.0,26.0,112.0,179.0,1333.0,2.8,1.2,3.9,2023-24,18700000.0,ATL
Bojan Bogdanović,SF,34.0,57.0,1478.0,309.0,681.0,0.454,133.0,334.0,0.398,176.0,347.0,0.507,117.0,149.0,0.785,22.0,130.0,152.0,97.0,30.0,5.0,101.0,95.0,868.0,0.3,0.7,1.1,2023-24,20000000.0,NYK
Bol Bol,PF,24.0,43.0,469.0,93.0,151.0,0.616,22.0,52.0,0.423,71.0,99.0,0.717,15.0,19.0,0.789,32.0,105.0,137.0,17.0,10.0,25.0,19.0,42.0,223.0,1.0,0.7,1.6,2023-24,2019706.0,PHO
Devin Booker,PG,27.0,68.0,2447.0,642.0,1305.0,0.492,152.0,418.0,0.364,490.0,887.0,0.552,405.0,457.0,0.886,56.0,252.0,308.0,472.0,61.0,28.0,178.0,206.0,1841.0,7.2,2.0,9.2,2023-24,36016200.0,PHO
Brandon Boston Jr.,SF,22.0,32.0,345.0,65.0,161.0,0.404,14.0,52.0,0.269,51.0,109.0,0.468,23.0,33.0,0.697,19.0,33.0,52.0,13.0,11.0,8.0,24.0,40.0,167.0,-0.6,0.3,-0.3,2023-24,1836096.0,LAC
Chris Boucher,PF,31.0,50.0,705.0,110.0,217.0,0.507,31.0,94.0,0.33,79.0,123.0,0.642,71.0,92.0,0.772,62.0,145.0,207.0,23.0,14.0,24.0,28.0,68.0,322.0,1.2,0.6,1.7,2023-24,11750000.0,TOR
James Bouknight,SG,23.0,14.0,81.0,18.0,41.0,0.439,13.0,30.0,0.433,5.0,11.0,0.455,1.0,2.0,0.5,1.0,8.0,9.0,6.0,1.0,1.0,2.0,3.0,50.0,0.1,0.0,0.1,2023-24,4570080.0,CHO
Malaki Branham,PG,20.0,75.0,1594.0,271.0,628.0,0.432,93.0,268.0,0.347,178.0,360.0,0.494,55.0,63.0,0.873,28.0,120.0,148.0,156.0,27.0,8.0,91.0,94.0,690.0,-0.9,0.6,-0.3,2023-24,3071880.0,SAS
Christian Braun,SG,22.0,82.0,1655.0,222.0,483.0,0.46,63.0,164.0,0.384,159.0,319.0,0.498,93.0,134.0,0.694,79.0,227.0,306.0,132.0,42.0,35.0,55.0,137.0,600.0,1.5,2.0,3.4,2023-24,2949120.0,DEN
Mikal Bridges,SF,27.0,82.0,2854.0,564.0,1294.0,0.436,220.0,592.0,0.372,344.0,702.0,0.49,258.0,317.0,0.814,68.0,304.0,372.0,299.0,81.0,30.0,164.0,116.0,1606.0,2.1,2.1,4.2,2023-24,21700000.0,BRK
Miles Bridges,SF,25.0,69.0,2581.0,559.0,1210.0,0.462,157.0,450.0,0.349,402.0,760.0,0.529,174.0,211.0,0.825,71.0,434.0,505.0,231.0,65.0,33.0,138.0,118.0,1449.0,0.7,1.4,2.2,2023-24,7921300.0,CHO
Oshae Brissett,SF,25.0,55.0,630.0,68.0,153.0,0.444,15.0,55.0,0.273,53.0,98.0,0.541,50.0,83.0,0.602,61.0,99.0,160.0,44.0,19.0,8.0,20.0,54.0,201.0,0.8,0.9,1.7,2023-24,2165000.0,BOS
Malcolm Brogdon,PG,31.0,39.0,1121.0,218.0,496.0,0.44,82.0,199.0,0.412,136.0,297.0,0.458,95.0,116.0,0.819,28.0,120.0,148.0,214.0,27.0,8.0,60.0,58.0,613.0,2.0,0.6,2.6,2023-24,22500000.0,POR
Dillon Brooks,SF,28.0,72.0,2227.0,329.0,768.0,0.428,133.0,370.0,0.359,196.0,398.0,0.492,124.0,147.0,0.844,53.0,193.0,246.0,119.0,64.0,10.0,88.0,241.0,915.0,0.6,2.1,2.7,2023-24,22627671.0,HOU
Bruce Brown,PG,27.0,67.0,1866.0,278.0,582.0,0.478,53.0,164.0,0.323,225.0,418.0,0.538,117.0,142.0,0.824,53.0,231.0,284.0,192.0,59.0,17.0,86.0,148.0,726.0,1.2,1.0,2.2,2023-24,22000000.0,TOR
Jaylen Brown,SF,27.0,70.0,2343.0,627.0,1256.0,0.499,145.0,410.0,0.354,482.0,846.0,0.57,211.0,300.0,0.703,84.0,303.0,387.0,249.0,83.0,37.0,166.0,185.0,1610.0,2.7,3.2,5.9,2023-24,31830357.0,BOS
Kendall Brown,SG,20.0,15.0,63.0,8.0,15.0,0.533,0.0,2.0,0.0,8.0,13.0,0.615,5.0,8.0,0.625,3.0,2.0,5.0,5.0,0.0,0.0,2.0,9.0,21.0,0.1,0.0,0.1,2023-24,1100000.0,IND
Kobe Brown,PF,24.0,44.0,394.0,37.0,90.0,0.411,14.0,48.0,0.292,23.0,42.0,0.548,1.0,2.0,0.5,20.0,42.0,62.0,25.0,12.0,6.0,9.0,49.0,89.0,0.1,0.3,0.5,2023-24,2413320.0,LAC
Moses Brown,C,24.0,22.0,200.0,33.0,65.0,0.508,0.0,0.0,0.0,33.0,65.0,0.508,9.0,31.0,0.29,37.0,49.0,86.0,7.0,5.0,7.0,11.0,27.0,75.0,-0.1,0.2,0.2,2023-24,2019706.0,POR
Troy Brown Jr.,SF,24.0,59.0,827.0,84.0,226.0,0.372,47.0,141.0,0.333,37.0,85.0,0.435,32.0,37.0,0.865,25.0,119.0,144.0,60.0,24.0,3.0,30.0,42.0,247.0,0.0,0.9,0.8,2023-24,4000000.0,DET
Jalen Brunson,PG,27.0,77.0,2726.0,790.0,1648.0,0.479,211.0,526.0,0.401,579.0,1122.0,0.516,421.0,497.0,0.847,43.0,235.0,278.0,519.0,70.0,13.0,186.0,144.0,2212.0,8.8,2.4,11.2,2023-24,26346666.0,NYK
Thomas Bryant,C,26.0,38.0,441.0,86.0,149.0,0.577,4.0,22.0,0.182,82.0,127.0,0.646,41.0,47.0,0.872,40.0,101.0,141.0,23.0,10.0,16.0,21.0,46.0,217.0,0.9,0.8,1.6,2023-24,2528233.0,MIA
Kobe Bufkin,SG,20.0,17.0,196.0,34.0,92.0,0.37,9.0,40.0,0.225,25.0,52.0,0.481,4.0,8.0,0.5,6.0,27.0,33.0,27.0,7.0,5.0,10.0,20.0,81.0,-0.3,0.1,-0.1,2023-24,4094280.0,ATL
Reggie Bullock,SF,32.0,44.0,417.0,34.0,82.0,0.415,27.0,67.0,0.403,7.0,15.0,0.467,1.0,1.0,1.0,6.0,67.0,73.0,15.0,12.0,5.0,10.0,29.0,96.0,0.1,0.5,0.6,2023-24,13033786.0,SAS
Reggie Bullock,SF,32.0,44.0,417.0,34.0,82.0,0.415,27.0,67.0,0.403,7.0,15.0,0.467,1.0,1.0,1.0,6.0,67.0,73.0,15.0,12.0,5.0,10.0,29.0,96.0,0.1,0.5,0.6,2023-24,13033786.0,HOU
Alec Burks,SG,32.0,66.0,1212.0,210.0,569.0,0.369,124.0,330.0,0.376,86.0,239.0,0.36,145.0,167.0,0.868,24.0,126.0,150.0,88.0,28.0,12.0,48.0,75.0,689.0,0.7,0.7,1.4,2023-24,10489600.0,NYK
Jared Butler,SG,23.0,40.0,566.0,98.0,201.0,0.488,24.0,78.0,0.308,74.0,123.0,0.602,31.0,36.0,0.861,9.0,49.0,58.0,126.0,29.0,8.0,50.0,58.0,251.0,0.3,0.3,0.6,2023-24,1250000.0,WAS
Jimmy Butler,PF,34.0,60.0,2042.0,396.0,793.0,0.499,60.0,145.0,0.414,336.0,648.0,0.519,394.0,459.0,0.858,105.0,213.0,318.0,298.0,79.0,17.0,102.0,68.0,1246.0,6.4,2.7,9.1,2023-24,45183960.0,MIA
Kentavious Caldwell-Pope,SG,30.0,76.0,2402.0,270.0,587.0,0.46,125.0,308.0,0.406,145.0,279.0,0.52,101.0,113.0,0.894,31.0,152.0,183.0,183.0,98.0,42.0,75.0,151.0,766.0,2.2,2.6,4.8,2023-24,14704938.0,DEN
Toumani Camara,PF,23.0,70.0,1739.0,197.0,438.0,0.45,58.0,172.0,0.337,139.0,266.0,0.523,75.0,99.0,0.758,139.0,204.0,343.0,87.0,66.0,33.0,84.0,174.0,527.0,0.6,1.4,2.0,2023-24,1119563.0,POR
Clint Capela,C,29.0,73.0,1883.0,353.0,618.0,0.571,0.0,1.0,0.0,353.0,617.0,0.572,130.0,206.0,0.631,335.0,441.0,776.0,91.0,43.0,106.0,74.0,164.0,836.0,4.4,1.9,6.3,2023-24,20616000.0,ATL
Jevon Carter,PG,28.0,72.0,1004.0,138.0,365.0,0.378,77.0,234.0,0.329,61.0,131.0,0.466,4.0,7.0,0.571,11.0,49.0,60.0,94.0,37.0,16.0,36.0,71.0,357.0,-0.5,0.7,0.2,2023-24,6190476.0,CHI
Wendell Carter Jr.,C,24.0,55.0,1406.0,223.0,425.0,0.525,64.0,171.0,0.374,159.0,254.0,0.626,93.0,134.0,0.694,112.0,269.0,381.0,95.0,35.0,28.0,68.0,121.0,603.0,2.2,2.1,4.4,2023-24,13050000.0,ORL
Alex Caruso,SG,29.0,71.0,2040.0,253.0,541.0,0.468,136.0,333.0,0.408,117.0,208.0,0.563,73.0,96.0,0.76,62.0,211.0,273.0,247.0,120.0,70.0,102.0,181.0,715.0,2.3,2.6,4.9,2023-24,9460000.0,CHI
Julian Champagnie,SF,22.0,74.0,1468.0,164.0,402.0,0.408,101.0,277.0,0.365,63.0,125.0,0.504,75.0,92.0,0.815,42.0,164.0,206.0,103.0,48.0,42.0,57.0,77.0,504.0,0.6,1.3,1.8,2023-24,3000000.0,SAS
Max Christie,SG,20.0,67.0,944.0,103.0,241.0,0.427,42.0,118.0,0.356,61.0,123.0,0.496,36.0,46.0,0.783,15.0,127.0,142.0,60.0,20.0,17.0,35.0,57.0,284.0,-0.1,0.8,0.7,2023-24,1719864.0,LAL
